"","statenum","Route","RouteName","rt.uni","State","system.index","RTENAME","RTENO","date","meanHSI","RTENO_2","year"
"1",3,117,"HATCHER PASS","3-117","ALASKA",NA,NA,NA,NA,NA,NA,NA
"2",3,223,"THORNE BAY 2","3-223","ALASKA",NA,NA,NA,NA,NA,NA,NA
"3",3,50,"CORDOVA","3-50","ALASKA",NA,NA,NA,NA,NA,NA,NA
"4",3,850,"COPPER RIVER","3-850","ALASKA",NA,NA,NA,NA,NA,NA,NA
"5",11,114,"Ash River","11-114","British Columbia",NA,NA,NA,NA,NA,NA,NA
"6",11,185,"SUKUNKA FALLS","11-185","British Columbia",NA,NA,NA,NA,NA,NA,NA
"7",11,310,"Silver Skagit Rd","11-310","British Columbia",NA,NA,NA,NA,NA,NA,NA
"8",11,33,"BRIDGE LAKE","11-33","British Columbia",NA,NA,NA,NA,NA,NA,NA
"9",4,10,"HIGHWOOD RIVER","4-10","Alberta",NA,NA,NA,NA,NA,NA,NA
"10",4,115,"DIDSBURY","4-115","Alberta",NA,NA,NA,NA,NA,NA,NA
"11",4,125,"SUNWAPTA FLS","4-125","Alberta",NA,NA,NA,NA,NA,NA,NA
"12",14,1,"HORSE CREEK","14-1","CALIFORNIA",NA,NA,NA,NA,NA,NA,NA
"13",14,167,"ORLEANS","14-167","CALIFORNIA",NA,NA,NA,NA,NA,NA,NA
"14",14,175,"MT SHASTA","14-175","CALIFORNIA",NA,NA,NA,NA,NA,NA,NA
"15",14,198,"YREKA","14-198","CALIFORNIA",NA,NA,NA,NA,NA,NA,NA
"16",14,199,"BARTLE","14-199","CALIFORNIA",NA,NA,NA,NA,NA,NA,NA
"17",14,423,"PINE MOUNTAIN","14-423","CALIFORNIA",NA,NA,NA,NA,NA,NA,NA
"18",14,431,"HAY FORK","14-431","CALIFORNIA",NA,NA,NA,NA,NA,NA,NA
"19",53,176,"SKALKHO-RYE","53-176","MONTANA",NA,NA,NA,NA,NA,NA,NA
"20",53,301,"WHITEFISH LAKE","53-301","MONTANA",NA,NA,NA,NA,NA,NA,NA
"21",53,325,"PAGIL GULCH","53-325","MONTANA",NA,NA,NA,NA,NA,NA,NA
"22",69,120,"DAVIS LAKE","69-120","OREGON",NA,NA,NA,NA,NA,NA,NA
"23",69,159,"EMIGRANT LAKE 2","69-159","OREGON",NA,NA,NA,NA,NA,NA,NA
"24",69,244,"CINDERELLA","69-244","OREGON",NA,NA,NA,NA,NA,NA,NA
"25",69,309,"Harlan","69-309","OREGON",NA,NA,NA,NA,NA,NA,NA
"26",69,336,"FISHER","69-336","OREGON",NA,NA,NA,NA,NA,NA,NA
"27",69,409,"Harlan 2","69-409","OREGON",NA,NA,NA,NA,NA,NA,NA
"28",69,436,"Fisher 2","69-436","OREGON",NA,NA,NA,NA,NA,NA,NA
"29",89,103,"WARM BEACH 2","89-103","WASHINGTON",NA,NA,NA,NA,NA,NA,NA
"30",89,152,"SULLIVAN LAKE 2","89-152","WASHINGTON",NA,NA,NA,NA,NA,NA,NA
"31",89,173,"INDEX 2","89-173","WASHINGTON",NA,NA,NA,NA,NA,NA,NA
"32",89,242,"MENDOTA 3","89-242","WASHINGTON",NA,NA,NA,NA,NA,NA,NA
"33",89,85,"CONCRETE","89-85","WASHINGTON",NA,NA,NA,NA,NA,NA,NA
"34",89,86,"Greenwater","89-86","WASHINGTON",NA,NA,NA,NA,NA,NA,NA
"35",92,1,"NE ENTRANCE","92-1","WYOMING",NA,NA,NA,NA,NA,NA,NA
"36",92,208,"MORAN","92-208","WYOMING",NA,NA,NA,NA,NA,NA,NA
