system:index,RTENAME,RTENO,area,.geo
66,RONALD,89035.0,15.487502115134802,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,SALADO,69009.0,14.719373852987122,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,SPARTA,69038.0,16.95820880781252,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,TIMBER,69001.0,19.110095311106,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,UMPQUA,69018.0,15.587211461090678,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,VERLOT,89904.0,16.645306254610897,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,VICTOR,53901.0,11.073192733486515,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,WAPATO,89020.0,16.440548048728534,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,WILBUR,89038.0,15.819020732245756,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,WILSON,92052.0,15.872065250229777,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,YAKIMA,89081.0,17.931167551501208,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,ACEQUIA,33026.0,15.167813872457105,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,AUGUSTA,53016.0,16.228196737086385,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,BLITZEN,69030.0,16.10303081456802,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,BOULDER,53028.0,16.724341207460185,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,BRADMAN,53904.0,19.511916522135405,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,CARLTON,89049.0,19.29102731132047,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,CHALLIS,33013.0,15.005467943321074,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,CLINTON,53026.0,15.15746831936275,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,CONNELL,89022.0,16.262113211963833,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,CRATERS,33020.0,15.879448425765924,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,CROWLEY,69024.0,15.432583289139096,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,EVERETT,89034.0,15.722111972166067,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,GIFFORD,33004.0,14.91203082752757,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,GLACIER,89028.0,16.154004777420344,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,GLASGOW,69117.0,15.813514960646447,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,GRANITE,69049.0,16.79162021014094,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,KENDALL,89027.0,15.75156611573224,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,LAURIER,89070.0,17.85653407156865,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,LEADORE,33014.0,15.709634298606009,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,LOGDELL,69013.0,15.469902175291054,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,MACDOEL,14168.0,16.850790452481633,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,MAMMOTH,92030.0,15.61672173636641,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,MCCHORD,89910.0,14.534465563618259,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,MENDOTA,89042.0,13.599622883762255,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,MERRILL,69228.0,19.29368061035541,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,MIKKALO,69204.0,19.60866588777573,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,MIVODEN,33002.0,12.554718401072297,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,MOLALLA,69901.0,15.734352205453439,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,MT HOOD,69043.0,14.74536104549633,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,PAISLEY,69029.0,16.027654991344978,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,PAUNINA,69245.0,19.876924889966276,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,POMEROY,89065.0,19.163093250015297,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,PRESTON,33228.0,16.464524781617648,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,RAINIER,89079.0,14.82289925111826,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,RAYMOND,89059.0,17.810975593811282,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,REARDAN,89016.0,14.944587087162981,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,RIMROCK,89019.0,15.786245242570462,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,SANTIAM,69903.0,16.908318105514706,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,SILVIES,69248.0,16.699235606418515,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,SISTERS,69238.0,22.779248755361515,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,SNOWDEN,89025.0,15.358636320358451,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,ST MARY,53003.0,16.498742408455882,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,SULPHUR,89164.0,18.54795767535233,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,SUNBEAM,33213.0,16.067917097870716,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,TAHOLAH,89009.0,15.826661083976722,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,WICKIUP,69014.0,18.709192641789212,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,WOODMAN,53025.0,15.55955942143075,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,ZUMWALT,69905.0,16.380154457552074,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,BAY VIEW,89066.0,17.533801979442387,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,BREWSTER,89006.0,17.018534356648278,"{""type"":""MultiPoint"",""coordinates"":[]}"
