"system:index","RTENAME","RTENO","date","meanHSI"
"0_00000000000000000f19","CLINTON",53026,"1985-05-01",0.20420831469117603
"0_00000000000000000218","CONNELL",89022,"1985-05-01",0.17131968987442184
"0_00000000000000000c1c","CRATERS",33020,"1985-05-01",0.22856001851008065
"0_0000000000000000118c","CROWLEY",69024,"1985-05-01",0.30960291784208416
"0_00000000000000000223","EVERETT",89034,"1985-05-01",0.6343391889182587
"0_00000000000000000c0f","GIFFORD",33004,"1985-05-01",0.4415282097713657
"0_0000000000000000021e","GLACIER",89028,"1985-05-01",0.2558269209965942
"0_000000000000000011af","GLASGOW",69117,"1985-05-01",0.46534481578924175
"0_0000000000000000119f","GRANITE",69049,"1985-05-01",0.22729399474791984
"0_0000000000000000021d","KENDALL",89027,"1985-05-01",0.540948716500087
"0_00000000000000000244","LAURIER",89070,"1985-05-01",0.453049649450976
"0_00000000000000000c17","LEADORE",33014,"1985-05-01",0.24169447995199153
"0_00000000000000001183","LOGDELL",69013,"1985-05-01",0.225750425873666
"0_00000000000000000a89","MACDOEL",14168,"1985-05-01",0.26093175626385895
"0_00000000000000000310","MAMMOTH",92030,"1985-05-01",0.24572976290869789
"0_00000000000000000264","MCCHORD",89910,"1985-05-01",0.4801403213506968
"0_0000000000000000022b","MENDOTA",89042,"1985-05-01",0.49303736612238286
"0_000000000000000011d1","MERRILL",69228,"1985-05-01",0.36602710721122655
"0_000000000000000011ba","MIKKALO",69204,"1985-05-01",0.22245766665766473
"0_00000000000000000c0d","MIVODEN",33002,"1985-05-01",0.30094153183816724
"0_000000000000000011ef","MOLALLA",69901,"1985-05-01",0.3901309854004723
"0_0000000000000000119a","MT HOOD",69043,"1985-05-01",0.3398737494668983
"0_00000000000000001191","PAISLEY",69029,"1985-05-01",0.19768780814605144
"0_000000000000000011e2","PAUNINA",69245,"1985-05-01",0.1725322491806528
"0_0000000000000000023f","POMEROY",89065,"1985-05-01",0.3985046610819077
"0_00000000000000000c3e","PRESTON",33228,"1985-05-01",0.3357014044363587
"0_0000000000000000024d","RAINIER",89079,"1985-05-01",0.5037154558532947
"0_0000000000000000023b","RAYMOND",89059,"1985-05-01",0.4993636552311902
"0_00000000000000000212","REARDAN",89016,"1985-05-01",0.6390408072859624
"0_00000000000000000215","RIMROCK",89019,"1985-05-01",0.21974015407585237
"0_000000000000000011f1","SANTIAM",69903,"1985-05-01",0.40160233495803666
"0_000000000000000011e5","SILVIES",69248,"1985-05-01",0.20492540819147376
"0_000000000000000011db","SISTERS",69238,"1985-05-01",0.18435690493231985
"0_0000000000000000021b","SNOWDEN",89025,"1985-05-01",0.4142150756267245
"0_00000000000000000f02","ST MARY",53003,"1985-05-01",0.2293196109539372
"0_00000000000000000258","SULPHUR",89164,"1985-05-01",0.16251959785976003
"0_00000000000000000c31","SUNBEAM",33213,"1985-05-01",0.19907578374368048
"0_0000000000000000020e","TAHOLAH",89009,"1985-05-01",0.40672891740373934
"0_00000000000000001184","WICKIUP",69014,"1985-05-01",0.2525896411903722
"0_00000000000000000f18","WOODMAN",53025,"1985-05-01",0.23505191997777888
"0_000000000000000011f3","ZUMWALT",69905,"1985-05-01",0.3386736073851492
"0_00000000000000000240","BAY VIEW",89066,"1985-05-01",0.5829410335680825
"0_0000000000000000020b","BREWSTER",89006,"1985-05-01",0.3794361885890145
"0_0000000000000000118b","BUCHANAN",69023,"1985-05-01",0.2556320630363213
"0_00000000000000000c2d","BURGDORF",33208,"1985-05-01",0.19751332795788745
"0_00000000000000000c25","CABARTON",33111,"1985-05-01",0.29763380681795587
"0_00000000000000000f25","CHESTNUT",53039,"1985-05-01",0.25985805439118054
"0_0000000000000000020d","CHEWELAH",89008,"1985-05-01",0.46975212133677846
"0_000000000000000011c6","COQUILLE",69217,"1985-05-01",0.4337386682501549
"0_000000000000000011e4","DONNELLY",69247,"1985-05-01",0.20142018377118223
"0_000000000000000011a2","ELK LAKE",69052,"1985-05-01",0.18318979114128228
"0_00000000000000000f1a","ELLISTON",53027,"1985-05-01",0.2231238379115335
"0_00000000000000001199","GARFIELD",69041,"1985-05-01",0.5452935730902329
"0_00000000000000000238","HARTLINE",89056,"1985-05-01",0.2951998326958816
"0_00000000000000000f11","HIGHWOOD",53018,"1985-05-01",0.27233330678595674
"0_0000000000000000020f","KAMILCHE",89010,"1985-05-01",0.4284080923133038
"0_00000000000000000239","KEYSTONE",89057,"1985-05-01",0.30219552559524593
"0_000000000000000011ea","LAKEVIEW",69253,"1985-05-01",0.21609463875018947
"0_0000000000000000119b","MONTAGUE",69044,"1985-05-01",0.17665164573491005
"0_000000000000000011dd","MONUMENT",69240,"1985-05-01",0.2365684117146143
"0_00000000000000000c37","MUD LAKE",33221,"1985-05-01",0.39111381184016414
"0_00000000000000000246","MUKILTEO",89072,"1985-05-01",0.6321086743157591
"0_00000000000000000209","NEWHALEM",89004,"1985-05-01",0.5009467614435105
